證券代號,市值佔 大盤比重,排行,證券名稱
1101,0.4992%,35,台泥
1102,0.2673%,67,亞泥
1103,0.0308%,318,嘉泥
1104,0.0368%,284,環泥
1108,0.0134%,538,幸福
1109,0.0109%,605,信大
1110,0.0215%,402,東泥
1201,0.0187%,438,味全
1203,0.0191%,432,味王
1210,0.1001%,137,大成
1215,0.0515%,211,卜蜂
1216,0.8001%,17,統一
1217,0.0129%,556,愛之味
1218,0.0245%,367,泰山
1219,0.0125%,566,福壽
1220,0.0049%,814,台榮
1225,0.0231%,378,福懋油
1227,0.0679%,169,佳格
1229,0.1893%,85,聯華
1231,0.0417%,256,聯華食
1232,0.0435%,245,大統益
1233,0.0064%,752,天仁
1234,0.0301%,322,黑松
1235,0.021%,409,興泰
1236,0.0046%,829,宏亞
1256,0.0189%,435,鮮活果汁-KY
1301,0.9905%,13,台塑
1303,1.0382%,12,南亞
1304,0.0518%,210,台聚
1305,0.0264%,353,華夏
1307,0.0176%,453,三芳
1308,0.0288%,335,亞聚
1309,0.0149%,506,台達化
1310,0.0162%,476,台苯
1312,0.0312%,316,國喬
1313,0.0425%,252,聯成
1314,0.0665%,172,中石化
1315,0.0131%,548,達新
1316,0.0048%,823,上曜
1319,0.067%,171,東陽
1321,0.0147%,511,大洋
1323,0.0054%,791,永裕
1324,0.0016%,953,地球
1325,0.0036%,886,恆大
1326,0.7168%,23,台化
1337,0.004%,862,再生-KY
1338,0.006%,768,廣華-KY
1339,0.0063%,760,昭輝
1340,0.0037%,878,勝悅-KY
1341,0.0065%,751,富林-KY
1342,0.0161%,478,八貫
1402,0.2973%,61,遠東新
1409,0.0519%,209,新纖
1410,0.0044%,838,南染
1413,0.0017%,952,宏洲
1414,0.0073%,712,東和
1416,0.0037%,877,廣豐
1417,0.0047%,825,嘉裕
1418,0.0019%,947,東華
1419,0.0254%,359,新紡
1423,0.0061%,767,利華
1432,0.0029%,906,大魯閣
1434,0.0811%,150,福懋
1436,0.0115%,588,華友聯
1437,0.0107%,612,勤益控
1438,0.004%,863,三地開發
1439,0.0039%,867,雋揚
1440,0.0482%,224,南紡
1441,0.0015%,954,大東
1442,0.0247%,366,名軒
1443,0.0074%,704,立益物流
1444,0.0197%,425,力麗
1445,0.0046%,830,大宇
1446,0.0096%,648,宏和
1447,0.0134%,537,力鵬
1449,0.0027%,917,佳和
1451,0.0076%,703,年興
1452,0.0041%,853,宏益
1453,0.0027%,916,大將
1454,0.0045%,835,台富
1455,0.0099%,637,集盛
1456,0.0029%,905,怡華
1457,0.0098%,641,宜進
1459,0.0064%,753,聯發
1460,0.0115%,587,宏遠
1463,0.0049%,813,強盛
1464,0.011%,602,得力
1465,0.0026%,921,偉全
1466,0.0023%,932,聚隆
1467,0.0039%,868,南緯
1468,0.0041%,854,昶和
