Symbol,Coin,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Mkt Cap
BTC,Bitcoin,"$26,638.93",-0.2%,-6.9%,-9.6%,-11.3%,"$32,505,358,960","19,460,618",21 Million,"$518,410,040,659"
ETH,Ethereum,"$1,691.08",-0.0%,-6.0%,-8.7%,-11.5%,"$22,282,583,395","120,135,854",120 Million,"$203,004,647,962"
BNB,BNB,$218.38,-0.5%,-5.3%,-9.7%,-9.9%,"$967,710,151","153,856,150",154 Million,"$33,581,038,817"
XRP,XRP,$0.504748,-0.6%,-14.8%,-20.4%,-35.7%,"$2,283,883,016","52,841,868,447",100 Billion,"$26,641,110,119"
STETH,Lido Staked Ether,"$1,690.11",-0.1%,-6.0%,-8.7%,-11.5%,"$31,608,483","8,166,387",8.17 Million,"$13,793,747,182"
ADA,Cardano,$0.259256,0.4%,-6.1%,-12.7%,-18.3%,"$362,200,846","35,045,020,830",45 Billion,"$9,080,341,185"
SOL,Solana,$21.81,-0.1%,-6.0%,-12.0%,-17.3%,"$645,930,494","407,234,222",555 Million,"$8,879,102,357"
DOGE,Dogecoin,$0.061114,0.0%,-10.0%,-19.5%,-11.9%,"$838,032,790","140,634,166,384",141 Billion,"$8,583,995,573"
TRX,TRON,$0.072913,-0.2%,-2.7%,-5.8%,-9.3%,"$325,423,470","89,442,533,962",89.4 Billion,"$6,518,999,837"
DOT,Polkadot,$4.41,-1.0%,-5.9%,-12.1%,-15.9%,"$215,588,281","1,265,596,742",1.35 Billion,"$5,577,010,163"
MATIC,Polygon,$0.571813,-0.5%,-8.4%,-16.5%,-23.9%,"$414,092,454","9,319,469,069",10 Billion,"$5,328,607,135"
LTC,Litecoin,$65.38,-0.2%,-13.0%,-21.4%,-29.6%,"$1,165,289,667","73,552,933",84 Million,"$4,801,549,900"
SHIB,Shiba Inu,$0.00000818,1.2%,-10.3%,-17.6%,5.2%,"$487,498,481","589,334,187,729,825",1 Quadrillion,"$4,796,846,125"
TON,Toncoin,$1.31,0.1%,-8.9%,4.1%,-5.5%,"$24,596,273","3,438,718,018",5.09 Billion,"$4,505,867,609"
WBTC,Wrapped Bitcoin,"$26,714.65",-0.2%,-6.7%,-9.4%,-11.0%,"$217,445,569","162,305",162 Thousand,"$4,325,911,995"
DAI,Dai,$1.00,-0.0%,0.0%,0.0%,-0.0%,"$215,961,254","3,938,237,990",3.94 Billion,"$3,946,781,650"
UNI,Uniswap,$5.01,0.2%,-7.9%,-18.8%,-16.0%,"$199,866,661","753,766,667",1 Billion,"$3,769,311,100"
AVAX,Avalanche,$10.68,-0.1%,-6.0%,-14.3%,-23.9%,"$167,753,291","343,992,124",431 Million,"$3,669,936,937"
LEO,LEO Token,$3.90,-1.3%,-2.3%,-2.3%,-3.4%,"$824,675","929,593,548",985 Million,"$3,641,244,659"
BCH,Bitcoin Cash,$183.47,0.2%,-12.3%,-21.0%,-26.9%,"$381,898,697","19,478,931",21 Million,"$3,559,644,318"
LINK,Chainlink,$6.21,0.0%,-8.8%,-18.1%,-11.3%,"$467,598,394","538,099,971",1 Billion,"$3,331,761,844"
XLM,Stellar,$0.114166,-0.2%,-10.2%,-18.3%,-13.7%,"$129,884,594","27,365,629,322",50 Billion,"$3,115,434,975"
XMR,Monero,$145.05,-0.1%,-5.9%,-7.2%,-13.8%,"$93,038,872","18,147,820",∞,"$2,624,529,482"
OKB,OKB,$42.83,-0.1%,-4.9%,-12.5%,-1.3%,"$7,101,353","60,000,000",236 Million,"$2,566,866,232"
ATOM,Cosmos Hub,$7.64,1.8%,-2.3%,-9.4%,-18.6%,"$266,855,754","292,586,164",∞,"$2,231,583,888"
ETC,Ethereum Classic,$15.14,0.2%,-7.0%,-14.6%,-20.3%,"$160,429,841","142,541,516",211 Million,"$2,150,594,339"
HBAR,Hedera,$0.056372,0.6%,-10.4%,-1.4%,5.5%,"$97,065,049","32,983,824,902",50 Billion,"$1,871,261,337"
FIL,Filecoin,$3.47,0.2%,-7.1%,-16.2%,-20.0%,"$142,340,917","442,793,578",1.96 Billion,"$1,535,117,612"
ICP,Internet Computer,$3.44,0.3%,-7.1%,-14.8%,-16.7%,"$47,622,209","441,618,773",504 Million,"$1,511,248,588"
LDO,Lido DAO,$1.65,-0.6%,-3.0%,-10.7%,-19.7%,"$85,926,580","878,845,966",1 Billion,"$1,457,873,158"
QNT,Quant,$98.36,-0.1%,-2.1%,-3.6%,-2.4%,"$29,797,974","14,544,176",14.6 Million,"$1,425,913,450"
MNT,Mantle,$0.431920,0.1%,-3.8%,-6.8%,-21.0%,"$19,929,986","3,234,268,325",6.22 Billion,"$1,396,292,655"
