Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-01-03,356.25,357.5,332.5,348.75,159.52191162109375,74894548,0.0,0.0
2022-01-04,348.75,352.5,345.0,351.25,160.66542053222656,27130912,0.0,0.0
2022-01-05,351.25,360.0,347.5,352.5,161.23719787597656,30923580,0.0,0.0
2022-01-06,348.75,361.25,347.5,357.5,163.5242462158203,37300349,0.0,0.0
2022-01-07,360.0,362.5,347.5,351.25,160.66542053222656,42279051,0.0,0.0
2022-01-10,348.75,355.0,337.5,341.25,156.09132385253906,54600708,0.0,0.0
2022-01-11,340.0,343.75,333.75,335.0,153.23251342773438,39013042,0.0,0.0
2022-01-12,338.75,340.0,320.0,321.25,146.943115234375,62042207,0.0,0.0
2022-01-13,321.25,326.25,315.0,315.0,144.08428955078125,37788272,0.0,0.0
2022-01-14,316.25,330.0,310.0,330.0,150.94546508789062,55660478,0.0,0.0
2022-01-17,326.25,327.5,317.5,317.5,145.2278289794922,42559532,0.0,0.0
2022-01-18,313.75,322.5,311.25,317.5,145.2278289794922,34666815,0.0,0.0
2022-01-19,313.75,320.0,302.5,306.25,140.08197021484375,53173228,0.0,0.0
2022-01-20,306.25,312.5,302.5,310.0,141.7972412109375,28452358,0.0,0.0
2022-01-21,305.0,306.25,288.75,288.75,132.0772705078125,71028154,0.0,0.0
2022-01-24,280.0,291.25,276.25,287.5,131.50550842285156,61013830,0.0,0.0
2022-01-25,285.0,285.0,275.0,275.0,125.78787994384766,41419217,0.0,0.0
2022-01-26,277.5,286.25,277.5,282.5,129.2184600830078,30841950,0.0,0.0
2022-02-07,288.75,310.0,287.5,310.0,141.7972412109375,56831972,0.0,0.0
2022-02-08,311.25,333.75,308.75,322.5,147.51487731933594,101460510,0.0,0.0
2022-02-09,328.75,332.5,320.0,322.5,147.51487731933594,46548462,0.0,0.0
2022-02-10,328.75,332.5,321.25,330.0,150.94546508789062,44579196,0.0,0.0
